station_id,lat,lon
INA-10HA01,63.29999924,-129.8333282
INA-10HC01,63.20000076,-123.4166641
INA-10KA02,64.91666412,-125.9166641
INA-10LB01,67.48332977,-130.8333282
INA-10LB02,67.18333435,-130.2166595
INA-10LB03,67.8666687,-131.3333282
INA-10LB04,67.8833313,-132.5833282
INA-10MC01,67.3833313,-134.5
INA-10MC02,67.30000305,-134.9499969
INA-10MC03,67.8666687,-134.1999969
MB-04AA711,54.5047226,-96.62750244
MB-05TC701,55.15510941,-98.4655838
MB-05TE703,55.48327637,-99.22133636
MB-05TF006,55.54805374,-98.60416412
MB-05TF710,55.86700058,-99.33161163
MB-05TG707,55.69889069,-98.04944611
MB-05TG723,55.98572159,-97.20124817
MB-05TG724,55.46033478,-98.42302704
MB-05TG747,55.77999878,-97.94400024
MB-05UA003,53.82288742,-97.77471924
MB-05UB013,54.30322266,-98.43869781
MB-05UB654,54.5288887,-98.04888916
MB-05UB702,54.42069626,-98.06336212
MB-05UC701,54.53894424,-98.36386108
MB-05UC702,54.5000267,-98.61141968
MB-05UC704,54.26536179,-98.96502686
MB-05UD007,54.88750076,-98.37078094
MB-05UD704,54.77111053,-96.96685791
MB-05UE703,55.43805695,-96.7864151
MB-05UE715,55.96816635,-96.56199646
MB-06EC706,57.31272125,-98.16155243
MB-06EC712,57.32283401,-98.13647461
MB-06FB002,57.65352631,-95.66366577
MB-06FD682,58.01499939,-94.19555664
MB-06FD684,57.7219429,-94.51333618
MB-06FD718,58.38708496,-94.22797394
MB-CLA####,54.60694504,-97.75944519
MB-JA#####,54.52639008,-98.05083466
MB-NHA####,53.95916748,-97.84278107
MB-TA#####,55.79999924,-97.86194611
MB-TSC####,55.70722198,-97.89167023
MDDELCC-0110010,48.36619949,-65.99990082
MDDELCC-0115010,48.04999924,-67.09929657
MDDELCC-0117010,47.53340149,-68.56600189
MDDELCC-0131010,47.70000076,-69.28333282
MDDELCC-0199011,47.48619843,-69.2542038
MDDELCC-0199021,47.03332901,-69.8833313
MDDELCC-0199030,46.5965004,-70.06439972
MDDELCC-0204000,48.93333054,-65.43332672
MDDELCC-0204400,48.8288002,-64.87670135
MDDELCC-0214010,49.00003052,-66.04924774
MDDELCC-0214100,48.94879913,-66.12270355
MDDELCC-0216000,48.69300079,-67.37590027
MDDELCC-0219010,48.63333893,-68.1333313
MDDELCC-0219020,48.52209854,-67.97450256
MDDELCC-0220010,48.36669922,-68.46602631
MDDELCC-0223500,47.70220184,-69.19920349
MDDELCC-0225010,47.63970184,-69.56770325
MDDELCC-0225020,47.56972122,-69.45996857
MDDELCC-0233010,46.51548004,-70.64742279
